date,temp_c,rhum_pct,wind_speed_ms,precip_mm,pollutant,value
2022-12-27,10.470833333333333,85.70833333333333,4.65,0.0,pm25,20.5
2022-12-27,10.470833333333333,85.70833333333333,4.65,0.0,no2,54.4
2022-12-28,10.3125,89.45833333333333,5.295833333333333,0.0,pm25,20.0
2022-12-28,10.3125,89.45833333333333,5.295833333333333,0.0,no2,53.4
2022-12-29,10.75,84.91666666666667,8.512500000000001,1.4000000000000001,pm25,29.0
2022-12-29,10.75,84.91666666666667,8.512500000000001,1.4000000000000001,no2,48.85
2022-12-30,12.979166666666666,82.75,10.304166666666667,1.6,pm25,31.5
2022-12-30,12.979166666666666,82.75,10.304166666666667,1.6,no2,47.45
2022-12-31,12.183333333333335,85.83333333333333,5.020833333333333,0.0,pm25,29.5
2022-12-31,12.183333333333335,85.83333333333333,5.020833333333333,0.0,no2,33.05
2023-01-01,10.145833333333334,91.33333333333333,5.5375000000000005,0.0,pm25,30.0
2023-01-01,10.145833333333334,91.33333333333333,5.5375000000000005,0.0,no2,44.05
2023-01-02,9.970833333333333,91.04166666666667,5.529166666666666,0.0,pm25,30.0
2023-01-02,9.970833333333333,91.04166666666667,5.529166666666666,0.0,no2,46.1
2023-01-03,10.625,88.54166666666667,4.8999999999999995,0.0,pm25,24.0
2023-01-03,10.625,88.54166666666667,4.8999999999999995,0.0,no2,44.8
2023-01-04,9.862499999999999,86.70833333333333,4.758333333333334,0.0,pm25,30.0
2023-01-04,9.862499999999999,86.70833333333333,4.758333333333334,0.0,no2,39.849999999999994
2023-01-05,8.654166666666667,92.375,5.054166666666666,0.0,pm25,31.5
2023-01-05,8.654166666666667,92.375,5.054166666666666,0.0,no2,41.15
2023-01-06,11.120833333333332,86.41666666666667,4.041666666666667,0.0,pm25,23.0
2023-01-06,11.120833333333332,86.41666666666667,4.041666666666667,0.0,no2,44.55
2023-01-07,9.408333333333333,88.04166666666667,4.575,0.0,pm25,4.0
2023-01-07,9.408333333333333,88.04166666666667,4.575,0.0,no2,
2023-01-08,10.275,85.875,8.904166666666667,0.7,pm25,
2023-01-08,10.275,85.875,8.904166666666667,0.7,no2,28.35
2023-01-15,9.5625,85.54166666666667,10.141666666666667,0.9,pm25,3.0
2023-01-15,9.5625,85.54166666666667,10.141666666666667,0.9,no2,17.95
2023-01-16,11.404166666666667,79.16666666666667,17.708333333333332,8.9,pm25,6.0
2023-01-16,11.404166666666667,79.16666666666667,17.708333333333332,8.9,no2,19.5
2023-01-17,11.804166666666667,85.375,20.270833333333332,19.9,pm25,9.5
2023-01-17,11.804166666666667,85.375,20.270833333333332,19.9,no2,36.35
2023-01-18,9.924999999999999,78.70833333333333,14.391666666666666,14.2,pm25,10.5
2023-01-18,9.924999999999999,78.70833333333333,14.391666666666666,14.2,no2,42.3
2023-01-19,7.075,76.125,12.229166666666666,1.6,pm25,8.5
2023-01-19,7.075,76.125,12.229166666666666,1.6,no2,39.95
2023-01-20,4.208333333333333,81.16666666666667,13.304166666666667,4.3,pm25,16.5
2023-01-20,4.208333333333333,81.16666666666667,13.304166666666667,4.3,no2,19.2
2023-01-21,4.941666666666666,71.125,22.3,1.1,pm25,
2023-01-21,4.941666666666666,71.125,22.3,1.1,no2,28.0
2023-01-22,4.341666666666667,79.16666666666667,7.408333333333334,1.3,pm25,23.0
2023-01-22,4.341666666666667,79.16666666666667,7.408333333333334,1.3,no2,44.849999999999994
2023-01-23,3.7458333333333336,85.70833333333333,6.183333333333334,2.4,pm25,9.5
2023-01-23,3.7458333333333336,85.70833333333333,6.183333333333334,2.4,no2,48.599999999999994
2023-01-24,4.695833333333334,82.66666666666667,7.195833333333333,0.0,pm25,9.0
2023-01-24,4.695833333333334,82.66666666666667,7.195833333333333,0.0,no2,45.45
2023-01-25,6.591666666666666,76.5,12.195833333333333,0.0,pm25,9.5
2023-01-25,6.591666666666666,76.5,12.195833333333333,0.0,no2,30.35
2023-01-26,7.216666666666666,72.625,13.5875,0.0,pm25,12.0
2023-01-26,7.216666666666666,72.625,13.5875,0.0,no2,37.25
2023-01-27,5.616666666666667,76.04166666666667,9.433333333333334,3.7,pm25,14.0
2023-01-27,5.616666666666667,76.04166666666667,9.433333333333334,3.7,no2,36.2
2023-01-28,5.591666666666666,82.54166666666667,7.829166666666667,1.0,pm25,20.5
2023-01-28,5.591666666666666,82.54166666666667,7.829166666666667,1.0,no2,32.45
2023-01-29,4.566666666666667,75.29166666666667,8.158333333333333,0.0,pm25,25.5
2023-01-29,4.566666666666667,75.29166666666667,8.158333333333333,0.0,no2,43.75
2023-01-30,3.475,78.83333333333333,6.116666666666667,0.0,pm25,25.0
2023-01-30,3.475,78.83333333333333,6.116666666666667,0.0,no2,50.45
2023-01-31,5.983333333333333,73.45833333333333,6.741666666666667,0.0,pm25,22.5
2023-01-31,5.983333333333333,73.45833333333333,6.741666666666667,0.0,no2,60.45
2023-02-01,5.8,77.08333333333333,5.904166666666666,0.0,pm25,
2023-02-01,5.8,77.08333333333333,5.904166666666666,0.0,no2,56.0
2023-02-13,6.404166666666666,70.125,6.625,0.0,pm25,41.0
2023-02-13,6.404166666666666,70.125,6.625,0.0,no2,56.95
2023-02-14,6.695833333333333,77.875,5.283333333333333,0.0,pm25,44.5
2023-02-14,6.695833333333333,77.875,5.283333333333333,0.0,no2,63.55
2023-02-15,6.920833333333333,79.54166666666667,6.045833333333333,0.0,pm25,
2023-02-15,6.920833333333333,79.54166666666667,6.045833333333333,0.0,no2,73.5
2023-03-18,9.9,77.5,7.783333333333334,0.0,pm25,
2023-03-18,9.9,77.5,7.783333333333334,0.0,no2,24.4
2023-03-19,11.516666666666666,83.66666666666667,5.8,1.5,pm25,
2023-03-19,11.516666666666666,83.66666666666667,5.8,1.5,no2,32.2
2023-03-20,11.3125,91.5,6.0,20.8,pm25,17.0
2023-03-20,11.3125,91.5,6.0,20.8,no2,30.5
2023-03-21,11.845833333333333,84.29166666666667,7.116666666666667,0.0,pm25,17.0
2023-03-21,11.845833333333333,84.29166666666667,7.116666666666667,0.0,no2,39.55
2023-03-22,12.279166666666667,82.41666666666667,6.2250000000000005,0.0,pm25,
2023-03-22,12.279166666666667,82.41666666666667,6.2250000000000005,0.0,no2,58.5
2023-03-23,13.095833333333333,78.20833333333333,6.641666666666667,0.0,pm25,13.0
2023-03-23,13.095833333333333,78.20833333333333,6.641666666666667,0.0,no2,27.299999999999997
2023-03-24,12.529166666666667,82.66666666666667,6.166666666666667,0.0,pm25,9.0
2023-03-24,12.529166666666667,82.66666666666667,6.166666666666667,0.0,no2,25.0
2023-03-25,13.620833333333332,79.625,7.720833333333334,0.0,pm25,7.0
2023-03-25,13.620833333333332,79.625,7.720833333333334,0.0,no2,21.65
2023-03-26,12.504166666666668,77.625,10.554166666666667,5.6,pm25,7.5
2023-03-26,12.504166666666668,77.625,10.554166666666667,5.6,no2,27.8
2023-03-27,12.166666666666666,75.33333333333333,8.929166666666667,9.1,pm25,11.0
2023-03-27,12.166666666666666,75.33333333333333,8.929166666666667,9.1,no2,29.700000000000003
2023-03-28,9.9625,60.291666666666664,12.558333333333332,0.0,pm25,11.0
2023-03-28,9.9625,60.291666666666664,12.558333333333332,0.0,no2,38.95
2023-03-29,9.9625,69.08333333333333,9.558333333333334,0.1,pm25,8.5
2023-03-29,9.9625,69.08333333333333,9.558333333333334,0.1,no2,32.900000000000006
2023-03-30,12.454166666666666,75.0,9.070833333333333,0.1,pm25,6.0
2023-03-30,12.454166666666666,75.0,9.070833333333333,0.1,no2,24.8
2023-03-31,13.854166666666666,75.33333333333333,11.716666666666667,0.0,pm25,6.0
2023-03-31,13.854166666666666,75.33333333333333,11.716666666666667,0.0,no2,17.7
2023-04-01,14.283333333333333,73.375,11.466666666666667,0.0,pm25,4.0
2023-04-01,14.283333333333333,73.375,11.466666666666667,0.0,no2,23.95
2023-04-02,11.404166666666667,77.75,5.6499999999999995,1.0,pm25,8.0
2023-04-02,11.404166666666667,77.75,5.6499999999999995,1.0,no2,21.9
2023-04-03,12.708333333333334,57.208333333333336,21.883333333333336,0.0,pm25,11.0
2023-04-03,12.708333333333334,57.208333333333336,21.883333333333336,0.0,no2,24.8
2023-04-04,10.525,54.708333333333336,12.029166666666667,0.1,pm25,11.5
2023-04-04,10.525,54.708333333333336,12.029166666666667,0.1,no2,31.75
2023-04-05,8.887500000000001,74.83333333333333,6.420833333333333,3.1,pm25,12.5
2023-04-05,8.887500000000001,74.83333333333333,6.420833333333333,3.1,no2,28.75
2023-04-06,8.549999999999999,63.25,10.008333333333333,0.0,pm25,5.5
2023-04-06,8.549999999999999,63.25,10.008333333333333,0.0,no2,37.35
2023-04-07,9.270833333333334,63.916666666666664,7.804166666666667,0.0,pm25,9.5
2023-04-07,9.270833333333334,63.916666666666664,7.804166666666667,0.0,no2,24.700000000000003
2023-04-08,10.145833333333334,78.83333333333333,9.995833333333334,18.3,pm25,9.5
2023-04-08,10.145833333333334,78.83333333333333,9.995833333333334,18.3,no2,21.9
2023-04-09,10.020833333333334,74.79166666666667,8.85,0.9,pm25,10.0
2023-04-09,10.020833333333334,74.79166666666667,8.85,0.9,no2,13.75
2023-04-10,10.75,59.833333333333336,14.029166666666667,0.0,pm25,9.0
2023-04-10,10.75,59.833333333333336,14.029166666666667,0.0,no2,26.2
