date,city,pm25_rome,no2_rome
2022-12-31,Rome,29.5,33.05
2023-01-01,Rome,30.0,44.05
2023-01-02,Rome,30.0,46.1
2023-01-03,Rome,24.0,44.8
2023-01-04,Rome,30.0,39.849999999999994
2023-01-05,Rome,31.5,41.15
2023-01-06,Rome,23.0,44.55
2023-01-07,Rome,4.0,
2023-01-08,Rome,,28.35
2023-01-15,Rome,3.0,17.95
2023-01-16,Rome,6.0,19.5
2023-01-17,Rome,9.5,36.35
2023-01-18,Rome,10.5,42.3
2023-01-19,Rome,8.5,39.95
2023-01-20,Rome,16.5,19.2
2023-01-21,Rome,,28.0
2023-01-22,Rome,23.0,44.849999999999994
2023-01-23,Rome,9.5,48.599999999999994
2023-01-24,Rome,9.0,45.45
2023-01-25,Rome,9.5,30.35
2023-01-26,Rome,12.0,37.25
2023-01-27,Rome,14.0,36.2
2023-01-28,Rome,20.5,32.45
2023-01-29,Rome,25.5,43.75
2023-01-30,Rome,25.0,50.45
2023-01-31,Rome,22.5,60.45
2023-02-01,Rome,,56.0
2023-02-13,Rome,41.0,56.95
2023-02-14,Rome,44.5,63.55
2023-02-15,Rome,,73.5
2023-03-18,Rome,,24.4
2023-03-19,Rome,,32.2
2023-03-20,Rome,17.0,30.5
2023-03-21,Rome,17.0,39.55
2023-03-22,Rome,,58.5
2023-03-23,Rome,13.0,27.299999999999997
2023-03-24,Rome,9.0,25.0
2023-03-25,Rome,7.0,21.65
2023-03-26,Rome,7.5,27.8
2023-03-27,Rome,11.0,29.700000000000003
2023-03-28,Rome,11.0,38.95
2023-03-29,Rome,8.5,32.900000000000006
2023-03-30,Rome,6.0,24.8
2023-03-31,Rome,6.0,17.7
2023-04-01,Rome,4.0,23.95
2023-04-02,Rome,8.0,21.9
2023-04-03,Rome,11.0,24.8
2023-04-04,Rome,11.5,31.75
2023-04-05,Rome,12.5,28.75
2023-04-06,Rome,5.5,37.35
2023-04-07,Rome,9.5,24.700000000000003
2023-04-08,Rome,9.5,21.9
2023-04-09,Rome,10.0,13.75
2023-04-10,Rome,9.0,26.2
2023-04-11,Rome,4.5,30.799999999999997
2023-04-12,Rome,6.0,28.1
2023-04-13,Rome,9.0,41.9
2023-04-14,Rome,2.0,43.3
2023-04-15,Rome,6.0,14.95
2023-04-16,Rome,10.0,20.299999999999997
2023-04-17,Rome,9.5,33.6
2023-04-18,Rome,11.5,26.3
2023-04-19,Rome,10.5,25.700000000000003
2023-04-20,Rome,9.0,37.2
2023-04-21,Rome,,50.5
2023-04-22,Rome,,26.2
2023-04-23,Rome,,13.8
2023-04-25,Rome,7.5,22.45
2023-04-26,Rome,7.5,30.95
2023-04-27,Rome,9.5,32.15
2023-04-28,Rome,10.0,27.6
2023-04-29,Rome,7.0,21.1
2023-04-30,Rome,8.5,18.25
2023-05-01,Rome,8.0,24.549999999999997
2023-05-02,Rome,10.0,29.15
2023-05-03,Rome,12.5,23.9
2023-05-04,Rome,10.5,27.55
2023-05-05,Rome,7.5,25.450000000000003
2023-05-06,Rome,9.5,18.6
2023-05-07,Rome,10.5,32.2
2023-05-08,Rome,8.0,20.4
2023-05-09,Rome,5.5,22.5
2023-05-10,Rome,4.5,16.05
2023-05-11,Rome,5.5,20.2
2023-05-12,Rome,4.5,32.55
2023-05-13,Rome,2.5,13.05
2023-05-14,Rome,4.0,27.75
2023-05-15,Rome,4.0,19.35
2023-05-16,Rome,6.5,18.05
2023-05-17,Rome,7.5,29.95
2023-05-18,Rome,9.0,28.200000000000003
2023-05-19,Rome,7.0,31.7
2023-05-20,Rome,11.0,20.25
2023-05-21,Rome,11.0,33.15
2023-05-22,Rome,9.5,37.65
2023-05-23,Rome,11.5,30.049999999999997
2023-05-24,Rome,9.5,40.45
2023-05-25,Rome,10.0,32.4
2023-05-26,Rome,8.5,32.150000000000006
2023-05-27,Rome,7.5,23.35
2023-05-28,Rome,7.0,30.349999999999998
2023-05-29,Rome,7.5,34.25
2023-05-30,Rome,6.5,31.25
2023-05-31,Rome,10.5,28.65
2023-06-01,Rome,11.5,18.4
2023-06-02,Rome,9.5,17.8
2023-06-03,Rome,11.5,17.9
2023-06-04,Rome,9.5,24.1
2023-06-05,Rome,8.0,21.299999999999997
2023-06-06,Rome,8.5,22.6
2023-06-07,Rome,7.5,23.4
2023-06-08,Rome,7.5,23.9
2023-06-09,Rome,7.0,16.75
2023-06-10,Rome,5.5,18.35
2023-06-11,Rome,6.5,30.0
2023-06-12,Rome,6.0,39.45
2023-06-13,Rome,7.0,37.0
2023-06-14,Rome,10.5,33.1
2023-06-15,Rome,12.0,31.25
2023-06-16,Rome,13.0,31.200000000000003
2023-06-17,Rome,10.0,28.15
2023-06-18,Rome,13.5,36.2
2023-06-19,Rome,13.5,39.65
2023-06-20,Rome,14.5,41.2
2023-06-21,Rome,14.5,43.7
2023-06-22,Rome,9.0,29.35
2023-06-23,Rome,5.0,21.3
2023-06-24,Rome,10.0,20.3
2023-06-25,Rome,13.0,24.4
2023-06-26,Rome,12.0,28.25
2023-06-27,Rome,11.5,27.2
2023-06-28,Rome,12.0,18.25
2023-06-29,Rome,10.0,22.5
2023-06-30,Rome,9.0,24.3
2023-07-01,Rome,9.5,18.9
2023-07-02,Rome,10.5,20.5
2023-07-03,Rome,12.5,19.7
2023-07-04,Rome,9.5,22.55
2023-07-05,Rome,10.0,23.2
2023-07-06,Rome,14.5,32.9
2023-07-07,Rome,12.5,29.85
2023-07-08,Rome,13.25,24.9
2023-07-09,Rome,13.25,32.7
2023-07-10,Rome,12.5,36.6
2023-07-11,Rome,,57.15
2023-07-12,Rome,13.5,29.8
2023-07-13,Rome,14.5,25.3
2023-07-14,Rome,18.0,19.9
